date,sales
"Jan 12, 2020",1
"Dec 16, 2021",3
"Sep 08, 2021",2
"Mar 03, 2021",2
"Feb 11, 2021",4
"May 04, 2021",4
"Jan 26, 2020",5
"Aug 21, 2020",2
"Aug 20, 2021",2
"Oct 01, 2020",3
"Oct 27, 2020",3
"Mar 02, 2020",1
"Oct 01, 2021",6
"Apr 21, 2021",3
"Jul 20, 2021",4
"Jun 19, 2020",2
"May 16, 2021",6
"Oct 04, 2020",4
"Aug 07, 2020",1
"Feb 04, 2020",3
"Jan 05, 2021",2
"Aug 06, 2020",3
"Jul 03, 2020",2
"Jan 14, 2021",2
"Sep 06, 2021",2
"Nov 27, 2021",1
"Sep 08, 2020",4
"Oct 05, 2021",4
"Jan 14, 2021",3
"Jun 25, 2021",1
"Aug 05, 2021",5
"Mar 02, 2020",6
"Sep 06, 2020",2
"Feb 27, 2020",3
"Aug 18, 2020",1
"Oct 20, 2020",4
"Apr 22, 2021",3
"Jun 14, 2020",2
"Mar 22, 2021",1
"Feb 02, 2021",4
"Dec 16, 2021",4
"Oct 04, 2021",2
"Jun 13, 2020",3
"Jul 21, 2020",3
"Jan 29, 2020",4
"Jun 29, 2021",2
"Sep 15, 2021",2
"Sep 02, 2020",3
"Jan 27, 2020",1
"May 18, 2021",1
"Mar 09, 2020",5
"Jul 03, 2021",3
"Jul 18, 2020",3
"Oct 21, 2020",4
"Jun 09, 2020",1
"Oct 19, 2020",2
"Apr 09, 2020",2
"Aug 19, 2021",4
"May 13, 2020",5
"Nov 19, 2021",3
"May 17, 2021",2
"Apr 03, 2020",3
"Dec 20, 2020",4
"Jul 11, 2021",1
"Mar 13, 2021",4
"Dec 21, 2020",1
"Apr 08, 2021",3
"Aug 19, 2020",4
"Dec 30, 2021",2
"Aug 26, 2021",4
"Aug 27, 2021",3
"Mar 17, 2021",4
"May 28, 2021",3
"Mar 06, 2021",3
"Jul 22, 2021",5
"Oct 24, 2020",2
"Apr 19, 2021",3
"Mar 16, 2021",1
"Mar 03, 2020",1
"Jun 16, 2021",3
"Apr 14, 2021",4
"Jul 02, 2021",2
"Sep 19, 2021",4
"Dec 09, 2021",2
"Dec 26, 2020",5
"Jul 06, 2021",2
"Feb 06, 2020",1
"Apr 08, 2020",3
"Apr 26, 2020",3
"Oct 23, 2020",4
"Jun 06, 2021",2
"Sep 20, 2020",4
"Feb 24, 2021",2
"Jul 06, 2020",3
"Nov 24, 2021",5
"Nov 29, 2021",3
"Nov 19, 2021",3
"Dec 04, 2020",3
"Feb 09, 2021",1
"Jan 29, 2020",5
"Jul 03, 2021",3
"Oct 21, 2021",3
"Aug 07, 2020",3
"Dec 25, 2020",3
"Oct 29, 2021",2
"Mar 12, 2021",3
"Nov 15, 2021",3
"Feb 18, 2020",2
"Dec 10, 2020",2
"Feb 01, 2021",6
"Dec 06, 2021",5
"Jan 16, 2020",2
"Jun 08, 2020",3
"Aug 03, 2020",2
"Jul 14, 2021",2
"Dec 03, 2020",4
"Aug 07, 2021",1
"Dec 12, 2021",3
"Aug 03, 2020",2
"Aug 07, 2020",4
"Oct 15, 2020",6
"Apr 30, 2021",3
"Jun 04, 2020",2
"Jul 16, 2020",3
"Mar 06, 2021",1
"Apr 12, 2021",3
"Apr 19, 2021",3
"Apr 07, 2021",1
"Jun 20, 2020",3
"Nov 28, 2020",1
"Feb 26, 2020",1
"Dec 19, 2021",6
"Oct 26, 2021",4
"Jan 29, 2021",4
"Jan 29, 2020",2
"Aug 01, 2020",4
"May 02, 2020",2
"Sep 25, 2020",2
"Mar 27, 2020",2
"Mar 22, 2021",6
"Aug 05, 2021",5
"May 02, 2020",1
"Nov 21, 2021",4
"May 06, 2021",4
"Jul 01, 2021",3
"Feb 04, 2020",2
"Feb 28, 2020",2
"Jul 07, 2020",2
"Apr 03, 2020",1
"May 14, 2020",1
"Jun 15, 2020",2
"Nov 11, 2021",5
"Sep 12, 2020",3
"Dec 08, 2020",3
"Jan 17, 2020",5
"Jun 08, 2021",2
"Apr 13, 2020",1
"Oct 05, 2020",3
"Feb 10, 2020",1
"Oct 16, 2020",4
"Dec 17, 2021",2
"May 11, 2020",3
"Jul 21, 2021",2
"Jan 28, 2020",3
"Dec 02, 2021",2
"Apr 09, 2020",3
"Jun 28, 2020",5
"Jan 23, 2021",2
"Oct 08, 2020",1
"Dec 30, 2021",2
"Oct 22, 2021",2
"Apr 01, 2021",4
"Mar 23, 2020",2
"Oct 27, 2021",1
"Feb 16, 2021",4
"Apr 27, 2020",2
"Nov 12, 2020",2
"Mar 10, 2021",3
"Apr 23, 2020",5
"Aug 24, 2021",4
"Jun 29, 2020",2
"Jun 02, 2020",3
"Nov 15, 2020",2
"Nov 06, 2021",1
"Jun 06, 2021",6
"Aug 15, 2021",4
"Dec 25, 2021",3
"Sep 21, 2021",4
"Sep 06, 2021",6
"Jul 28, 2020",5
"Sep 05, 2021",1
"Mar 02, 2020",4
"Sep 20, 2021",3
"Dec 27, 2020",2
"Sep 15, 2021",5
"Oct 07, 2021",3
"May 09, 2021",6
"Oct 02, 2020",2
"Mar 18, 2020",5
"Feb 16, 2021",4
"Apr 21, 2020",2
"May 07, 2021",1
"Feb 14, 2020",3
"Dec 24, 2021",2
"Jun 05, 2021",3
"Oct 09, 2020",5
"Aug 08, 2021",1
"Dec 15, 2021",3
"Nov 02, 2020",2
"May 14, 2020",2
"Apr 08, 2020",2
"Aug 02, 2020",2
"Jul 19, 2020",2
"Mar 02, 2021",2
"Jan 03, 2021",2
"Jun 15, 2021",3
"Mar 14, 2021",3
"Jan 21, 2020",6
"Jan 06, 2020",2
"Aug 12, 2020",2
"Dec 29, 2021",3
"Dec 14, 2020",2
"Sep 06, 2021",5
"Oct 14, 2020",4
"Jun 24, 2021",4
"Apr 20, 2020",1
"Jan 19, 2020",2
"Jun 17, 2021",2
"Sep 19, 2021",1
"Oct 08, 2020",4
"Jun 18, 2020",3
"Mar 07, 2021",2
"Mar 22, 2021",2
"May 25, 2020",5
"Jan 27, 2021",4
"May 25, 2021",4
"Jul 28, 2020",2
"Aug 06, 2020",3
"May 22, 2021",5
"Oct 11, 2020",2
"Dec 25, 2020",2
"Oct 20, 2020",3
"Apr 30, 2020",5
"May 02, 2020",1
"Jul 29, 2020",2
"Dec 01, 2020",4
"Sep 17, 2021",4
"Sep 07, 2020",3
"Feb 21, 2021",4
"May 26, 2021",2
"Feb 28, 2020",2
"Mar 11, 2020",2
"May 06, 2020",3
"Feb 09, 2021",2
"Sep 24, 2020",3
"Oct 25, 2021",2
"Mar 12, 2021",2
"Aug 21, 2021",5
"Oct 03, 2020",1
"Mar 09, 2020",4
"Jun 04, 2020",3
"Dec 30, 2020",5
"Feb 21, 2021",1
"Jun 21, 2021",3
"Aug 04, 2021",3
"Mar 11, 2021",3
"Apr 06, 2020",2
"Apr 16, 2021",4
"Nov 20, 2020",5
"Oct 11, 2021",1
"Oct 28, 2020",3
"Oct 29, 2020",2
"Mar 04, 2021",3
"Dec 20, 2021",3
"Jun 09, 2021",3
"May 14, 2021",5
"May 01, 2021",1
"Jun 10, 2021",2
"Aug 23, 2020",3
"Oct 06, 2020",4
"May 11, 2021",5
"Feb 28, 2020",3
"Nov 20, 2021",4
"Jul 28, 2021",5
"Apr 12, 2021",4
"Mar 21, 2020",2
"Jul 10, 2020",4
"Jun 29, 2021",2
"Jan 29, 2020",2
"May 12, 2021",7
"Jun 03, 2020",6
"May 01, 2020",2
"May 02, 2021",3
"May 20, 2021",3
"Jul 16, 2020",2
"Apr 25, 2020",4
"Jun 30, 2021",3
"May 11, 2020",2
"May 09, 2021",2
"Apr 03, 2021",4
"Oct 28, 2021",4
"Apr 16, 2020",3
"Oct 16, 2021",4
"Dec 10, 2021",2
"Feb 01, 2021",3
"Mar 31, 2020",3
"Apr 04, 2020",2
"Dec 25, 2020",3
"Jun 17, 2021",4
"Sep 18, 2021",2
"Jun 08, 2021",6
"Feb 24, 2021",3
"Jul 30, 2020",1
"Nov 02, 2021",4
"Feb 10, 2021",2
"Oct 26, 2020",3
"Feb 21, 2020",2
"Mar 13, 2020",7
"May 31, 2021",1
"Apr 30, 2020",3
"Aug 23, 2020",6
"Feb 10, 2020",5
"Jun 15, 2021",3
"Oct 26, 2021",5
"Jun 13, 2021",3
"Dec 11, 2020",2
"Aug 31, 2021",2
"Jan 02, 2020",3
"Jul 02, 2021",3
"Feb 16, 2021",4
"May 21, 2021",2
"Nov 21, 2021",4
"Feb 11, 2020",4
"Feb 14, 2021",3
"Aug 06, 2021",2
"Aug 03, 2021",5
"Jan 19, 2021",2
"Nov 25, 2020",1
"Jul 19, 2020",5
"Oct 06, 2021",5
"Aug 21, 2021",1
"Oct 02, 2020",6
"Sep 05, 2020",1
"Dec 02, 2020",5
"Oct 16, 2020",2
"Nov 04, 2021",4
"Sep 29, 2021",2
"Mar 21, 2021",2
"May 07, 2020",3
"Jun 08, 2021",4
"Nov 12, 2020",3
"Nov 28, 2020",6
"Nov 11, 2020",6
"May 20, 2020",3
"Nov 03, 2021",2
"Jan 12, 2020",2
"Sep 12, 2021",2
"Jan 15, 2021",2
"Jun 14, 2021",3
"Sep 02, 2021",3
"May 01, 2020",3
"Mar 19, 2020",4
"Jun 01, 2021",4
"May 04, 2020",2
"Jan 01, 2021",3
"Jan 01, 2021",2
"Sep 13, 2020",2
"Dec 10, 2021",2
"Oct 16, 2020",1
"Mar 22, 2020",1
"Nov 05, 2021",3
"Jan 07, 2020",1
"Jul 09, 2020",3
"Jan 04, 2020",3
"Aug 16, 2020",4
"Jan 03, 2020",4
"Dec 14, 2021",2
"Feb 01, 2021",6
"Jun 23, 2021",3
"Dec 16, 2020",4
"Jul 10, 2020",3
"Apr 24, 2020",3
"Apr 17, 2020",1
"Oct 16, 2020",2
"Sep 27, 2021",5
"Mar 09, 2020",4
"Jun 30, 2020",6
"Oct 18, 2020",1
"Aug 04, 2021",3
"Dec 22, 2021",2
"Aug 22, 2021",1
"Jun 04, 2020",2
"Jul 22, 2020",4
"Aug 09, 2020",1
"Oct 28, 2020",1
"Jan 11, 2020",5
"Jun 17, 2020",5
"Jun 15, 2020",3
"Aug 12, 2021",2
"Mar 20, 2021",3
"Oct 27, 2020",3
"Mar 20, 2020",5
"Feb 25, 2021",3
"Dec 15, 2020",1
"Sep 22, 2020",2
"Nov 23, 2021",1
"Sep 26, 2021",3
"Jun 03, 2020",2
"Dec 14, 2021",4
"Jun 03, 2021",2
"Jun 06, 2020",1
"Jan 12, 2020",3
"May 18, 2020",4
"Sep 16, 2020",1
"Jul 11, 2021",3
"Aug 28, 2021",3
"May 13, 2021",5
"Jul 19, 2021",4
"Apr 14, 2021",5
"Mar 23, 2021",5
"May 25, 2020",4
"Jan 18, 2021",2
"Jun 22, 2020",3
"Jan 04, 2021",1
"Mar 15, 2021",3
"Jun 30, 2020",4
"Nov 06, 2021",4
"Aug 28, 2021",4
"Aug 26, 2020",3
"Mar 07, 2021",3
"Sep 01, 2021",5
"Dec 08, 2021",2
"Sep 16, 2021",2
"Oct 20, 2020",2
"Jul 01, 2020",3
"Feb 17, 2020",3
"Jan 17, 2020",3
"Mar 06, 2020",2
"Apr 13, 2020",3
"Nov 17, 2021",2
"Nov 01, 2020",4
"Mar 09, 2020",4
"Jul 14, 2021",3
"Feb 10, 2021",1
"Aug 22, 2021",4
"Apr 29, 2020",2
"Feb 18, 2020",2
"May 18, 2021",1
"Aug 16, 2020",3
"May 14, 2021",2
"Apr 26, 2021",2
"Oct 22, 2020",4
"Jul 11, 2021",5
"Jun 19, 2020",6
"Aug 15, 2021",8
"Jan 03, 2021",1
"Jun 30, 2021",3
"Jun 17, 2020",4
"Aug 20, 2020",2
"Feb 28, 2021",1
"Aug 22, 2020",2
"Aug 12, 2021",3
"Nov 13, 2020",3
"Mar 04, 2021",4
"Jan 12, 2020",2
"Apr 11, 2020",4
"Jul 03, 2020",3
"Aug 14, 2021",2
"May 08, 2021",3
"Jan 04, 2020",1
"May 02, 2020",2
"May 16, 2020",3
"May 01, 2021",3
"Oct 26, 2021",2
"Nov 13, 2020",4
"Feb 05, 2020",3
"Jul 01, 2021",4
"Apr 07, 2020",2
"Oct 31, 2021",5
"Sep 01, 2020",5
"Apr 21, 2020",4
"Sep 14, 2021",2
"Aug 26, 2021",2
"Jun 10, 2020",3
"Oct 13, 2020",3
"Jul 30, 2021",2
"Nov 20, 2020",2
"Nov 19, 2021",2
"Apr 16, 2020",2
"Oct 22, 2021",2
"Sep 13, 2021",5
"Sep 06, 2020",3
"Dec 18, 2021",2
"Jan 23, 2020",2
"Mar 02, 2021",2
"Feb 27, 2021",2
"Dec 14, 2021",3
"May 07, 2021",6
"Nov 08, 2021",2
"Oct 02, 2020",4
"Jul 18, 2021",6
"May 25, 2020",2
"Aug 16, 2021",3
"Jun 28, 2020",3
"May 17, 2021",6
"Apr 20, 2021",1
"May 09, 2021",3
"Apr 04, 2021",2
"May 01, 2021",2
"Nov 22, 2021",3
"Mar 28, 2021",2
"Mar 07, 2021",3
"Feb 05, 2021",1
"Apr 26, 2020",4
"Apr 11, 2021",7
"Jan 27, 2021",3
"Apr 07, 2021",2
"May 03, 2020",3
"Mar 19, 2020",3
"Nov 04, 2021",2
"May 14, 2020",2
"Nov 16, 2020",4
"Jul 06, 2021",4
"Oct 25, 2020",1
"Jul 17, 2020",2
"Dec 21, 2020",2
"Dec 26, 2021",2
"Feb 22, 2021",4
"Jul 31, 2021",2
"Nov 21, 2020",3
"Jul 09, 2021",2
"Aug 22, 2021",5
"Apr 26, 2021",2
"Jul 05, 2021",7
"May 27, 2020",2
"Mar 30, 2021",5
"Jul 04, 2021",2
"Aug 14, 2020",3
"Jul 01, 2020",3
"Oct 08, 2020",4
"Mar 07, 2020",2
"Feb 26, 2020",3
"Aug 17, 2020",5
"Jan 23, 2021",5
"Feb 13, 2021",2
"Mar 13, 2020",5
"Sep 13, 2021",2
"Aug 23, 2020",3
"Apr 28, 2020",1
"Sep 13, 2020",2
"Nov 02, 2020",2
"May 26, 2021",1
"Jul 24, 2021",1
"Dec 03, 2021",3
"Mar 02, 2021",2
"Dec 23, 2020",7
"Mar 05, 2020",3
"Sep 10, 2020",5
"Oct 12, 2020",2
"Jul 11, 2021",1
"Oct 13, 2021",2
"Dec 02, 2020",4
"Apr 04, 2021",2
"Jun 23, 2020",2
"Jan 04, 2021",2
"Sep 08, 2021",1
"Feb 17, 2021",5
"Dec 19, 2020",2
"Jun 08, 2020",5
"May 01, 2020",3
"May 02, 2020",3
"Jun 01, 2021",2
"May 29, 2021",1
"Jul 01, 2020",2
"May 06, 2021",2
"Dec 17, 2021",6
"Aug 26, 2021",4
"May 22, 2021",3
"Feb 12, 2021",2
"Apr 09, 2021",1
"Aug 09, 2020",2
"Apr 02, 2020",2
"Apr 14, 2021",5
"Jan 20, 2020",2
"May 17, 2021",5
"Sep 22, 2020",4
"Jul 05, 2020",1
"Jan 28, 2021",3
"Apr 25, 2020",1
"Aug 30, 2020",6
"May 11, 2021",2
"Jun 05, 2020",2
"Oct 05, 2020",4
"Aug 04, 2020",3
"Jul 28, 2021",1
"Sep 10, 2021",6
"Sep 21, 2021",2
"Apr 17, 2021",3
"Jun 28, 2021",5
"Jul 09, 2021",3
"May 10, 2020",2
"Jan 08, 2021",2
"Dec 25, 2020",3
"Feb 10, 2020",5
"Dec 12, 2021",4
"Jul 14, 2021",3
"Jan 22, 2021",2
"Jul 07, 2020",2
"Nov 29, 2020",4
"Jun 22, 2020",2
"Jun 02, 2020",3
"May 25, 2020",4
"Oct 09, 2021",6
"Apr 27, 2020",2
"Aug 23, 2020",1
"Feb 17, 2021",1
"Dec 27, 2020",4
"Jun 29, 2021",3
"Jul 15, 2020",4
"Sep 07, 2020",2
"Mar 08, 2021",1
"Mar 26, 2020",7
"Jul 15, 2020",2
"Apr 13, 2021",4
"Jul 16, 2021",2
"Aug 07, 2020",5
"Dec 02, 2021",5
"Aug 14, 2020",1
"Feb 20, 2021",3
"Dec 06, 2021",3
"Feb 21, 2020",3
"Apr 18, 2021",2
"Jul 20, 2020",3
"Jun 30, 2021",3
"Jan 18, 2020",1
"May 01, 2021",4
"Jul 20, 2020",2
"Dec 07, 2021",4
"Apr 07, 2020",2
"Oct 24, 2021",5
"Sep 17, 2020",4
"Apr 27, 2020",5
"Jun 18, 2020",4
"Feb 23, 2021",2
"Feb 04, 2020",4
"Apr 22, 2021",5
"Jan 27, 2021",4
"Apr 03, 2021",3
"Jul 30, 2021",3
"Jul 06, 2021",3
"Jun 17, 2020",2
"Nov 08, 2021",3
"May 17, 2020",2
"Aug 29, 2020",3
"Jun 09, 2020",4
"Jun 20, 2021",4
"Oct 03, 2021",1
"Apr 03, 2021",1
"Feb 16, 2021",2
"Jan 16, 2021",2
"Jan 01, 2021",4
"Jun 30, 2020",4
"Dec 08, 2021",3
"Oct 23, 2021",4
"Jun 07, 2020",2
"Sep 28, 2020",3
"Aug 13, 2020",3
"Mar 11, 2021",2
"Jun 02, 2021",3
"Jan 29, 2021",4
"Aug 08, 2021",2
"Jul 27, 2021",2
"Dec 15, 2020",3
"Dec 31, 2020",2
"Aug 25, 2021",2
"Dec 08, 2021",4
"Feb 28, 2020",4
"Sep 02, 2021",3
"Feb 27, 2021",4
"Jan 05, 2020",3
"Mar 13, 2020",3
"Feb 09, 2021",2
"Dec 02, 2020",1
"Feb 14, 2020",4
"Oct 28, 2021",5
"Apr 11, 2020",4
"Nov 08, 2020",2
"Feb 11, 2020",3
"May 10, 2021",6
"Jul 22, 2020",5
"Feb 22, 2020",3
"Feb 28, 2020",2
"Jul 08, 2021",4
"Jun 25, 2021",5
"Jun 11, 2020",5
"Apr 04, 2021",2
"Sep 01, 2021",3
"Nov 22, 2021",3
"Jun 06, 2021",3
"Oct 13, 2021",1
"Apr 15, 2021",4
"Aug 05, 2021",2
"Jul 25, 2021",3
"Oct 24, 2021",4
"Dec 20, 2021",3
"Oct 18, 2021",2
"Nov 11, 2021",2
"Apr 28, 2020",5
"Jun 10, 2020",5
"Aug 30, 2020",3
"Apr 25, 2021",2
"Feb 28, 2021",3
"Oct 29, 2021",2
"May 25, 2020",4
"Dec 29, 2021",7
"Oct 18, 2020",2
"Apr 14, 2020",4
"Aug 31, 2020",1
"Apr 22, 2021",4
"Jan 25, 2020",5
"Jan 22, 2021",2
"Jul 21, 2021",3
"Jun 23, 2020",3
"Nov 05, 2020",2
"Nov 16, 2020",5
"Dec 02, 2020",1
"Jan 14, 2021",3
"May 21, 2021",1
"Sep 07, 2020",2
"Dec 10, 2021",7
"Jul 27, 2021",2
"Aug 09, 2020",4
"Sep 20, 2021",2
"Sep 08, 2020",5
"Apr 15, 2020",5
"Feb 25, 2021",1
"Feb 01, 2021",3
"Feb 26, 2020",3
"Oct 11, 2020",2
"Aug 19, 2021",2
"Oct 10, 2020",6
"Jan 06, 2020",3
"Feb 20, 2020",3
"Aug 15, 2020",5
"Jan 13, 2020",1
"Jul 03, 2020",1
"Aug 25, 2020",1
"Apr 21, 2021",4
"Dec 15, 2021",3
"Jun 29, 2021",4
"Dec 24, 2020",4
"May 17, 2021",6
"Feb 23, 2020",2
"Dec 10, 2020",1
"Feb 18, 2021",2
"Aug 29, 2020",3
"Oct 19, 2020",4
"May 29, 2020",2
"Dec 29, 2020",4
"Oct 01, 2021",3
"Mar 03, 2020",4
"Mar 12, 2020",3
"Aug 15, 2020",3
"Sep 03, 2021",2
"Feb 27, 2020",1
"Sep 16, 2020",3
"Jun 25, 2020",4
"Mar 14, 2021",4
"Aug 31, 2020",3
"Apr 10, 2021",5
